Station Code,Water Quality,Locations,State/ UT Name,TEMPERATURE (degree Centigrade)-Minimum,TEMPERATURE (degree Centigrade)-Maximum,TEMPERATURE (degree Centigrade)-Mean,Dissolved Oxygen(D.O.) (mg/l)-Minimum,Dissolved Oxygen(D.O.) (mg/l)-Maximum,Dissolved Oxygen(D.O.) (mg/l)-Mean,pH-Minimum,pH-Maximum,pH-Mean,CONDUCTIVITY (µmhos/cm)-Minimum,CONDUCTIVITY (µmhos/cm)-Maximum,CONDUCTIVITY (µmhos/cm)-Mean,Biochemical oxygen demand (B.O.D.) (mg/l)-Minimum,Biochemical oxygen demand (B.O.D.) (mg/l)-Maximum,Biochemical oxygen demand (B.O.D.) (mg/l)-Mean,NITRATE- N (mg/l)-Minimum,NITRATE- N (mg/l)-Maximum,NITRATE- N (mg/l)-Mean,NITRITE-N (mg/l)-Minimum,NITRITE-N (mg/l)-Maximum,NITRITE-N (mg/l)-Mean,FECAL COLIFORM (MPN/100ml)-Minimum,FECAL COLIFORM (MPN/100ml)-Maximum,FECAL COLIFORM (MPN/100ml)-Mean,TOTAL COLIFORM (MPN/100ml)-Minimum,TOTAL COLIFORM (MPN/100ml)-Maximum,TOTAL COLIFORM (MPN/100ml)-Mean
1921,GROUND WATER QUALITY OF Manipur,HEIROK (THOBAL DIST.),Manipur,21,21,21,NA,NA,NA,6.7,6.7,6.7,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,GROUND WATER QUALITY OF Manipur,LAMKA (CHURACHANDPUR DIST.),Manipur,28,28,28,NA,NA,NA,6.5,6.5,6.5,557,557,557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,GROUND WATER QUALITY OF Manipur,PALLEL (CHANDEL DIST.),Manipur,29,29,29,NA,NA,NA,7.1,7.1,7.1,367,367,367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,30,30
1405,GROUND WATER QUALITY OF Tripura,WELL AT UDAIPUR (TUBEWELL)-,Tripura,25,29,27,NA,NA,NA,6.7,7.6,7.3,460,562,523,NA,NA,NA,0.03,1.05,0.3,NA,NA,NA,0,0,0,0,0,0
1406,GROUND WATER QUALITY OF Tripura,WELL AROUND UDAIPUR (TUBEWELL)-Tripura,Tripura,25,28,27,NA,NA,NA,6.5,7.9,7.5,265,380,302,NA,NA,NA,0,0.12,0.05,NA,NA,NA,0,0,0,0,0,0
1730,GROUND WATER QUALITY OF Tripura,KUNJBAN- AGARTALA- Tripura,Tripura,26,28,27,NA,NA,NA,5.9,6.2,6.1,160,165,162,NA,NA,NA,0,0.04,0.02,NA,NA,NA,0,0,0,0,0,0
1731,GROUND WATER QUALITY OF Tripura,LANKAMURA- Tripura,Tripura,27,28,27,NA,NA,NA,6.9,7.3,7,55,62,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1732,GROUND WATER QUALITY OF Tripura,A.D.NAGAR- AGARTALA- Tripura,Tripura,26,27,27,NA,NA,NA,6.4,6.7,6.5,85,95,90,NA,NA,NA,0,0.02,0.01,NA,NA,NA,0,0,0,0,0,0
1733,GROUND WATER QUALITY OF Tripura,SHIBNAGAR- AGARTALA- Tripura,Tripura,27,28,27,NA,NA,NA,6.5,6.6,6.5,140,151,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
1734,GROUND WATER QUALITY OF Tripura,GANDHIGRAM- AGARTALA- Tripura,Tripura,26,28,27,NA,NA,NA,6.9,7.1,7,145,152,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
